MD                  	REF                 
246.84              	0.0                 
247.84              	0.0                 
248.84              	0.0                 
249.84              	0.0                 
250.84              	0.0                 
251.46              	0.0                 
252.46              	0.0                 
253.46              	0.0                 
254.46              	0.0                 
255.46              	0.0                 
256.46000000000004  	0.0                 
257.46000000000004  	0.0                 
258.46000000000004  	0.0                 
259.08000000000004  	0.0                 
260.08000000000004  	0.0                 
261.08000000000004  	0.0                 
262.08000000000004  	0.0                 
263.08000000000004  	0.0                 
264.08000000000004  	0.0                 
265.08000000000004  	0.0                 
266.08000000000004  	0.0                 
266.7               	0.0                 
267.7               	0.0                 
268.7               	0.0                 
269.7               	0.0                 
270.7               	0.0                 
271.7               	0.0                 
272.7               	0.0                 
273.7               	0.0                 
274.32              	0.0                 
275.32              	0.0                 
276.32              	0.0                 
277.32              	0.0                 
278.32              	0.0                 
279.32              	0.0                 
280.32              	0.0                 
281.32              	0.0                 
281.94              	0.0                 
282.94              	0.0                 
283.94              	0.0                 
284.94              	0.0                 
285.94              	0.0                 
286.94              	0.0                 
287.94              	0.0                 
288.94              	0.0                 
289.56              	0.0                 
290.56              	0.0                 
291.56              	0.0                 
292.56              	0.0                 
293.56              	0.0                 
294.56              	0.0                 
295.56              	0.0                 
296.56              	0.0                 
297.18              	0.0                 
298.18              	0.0                 
299.18              	0.0                 
300.18              	0.0                 
301.18              	0.0                 
302.18              	0.0                 
303.18              	0.0                 
304.18              	0.0                 
304.8               	0.0                 
305.8               	0.0                 
306.8               	0.0                 
307.8               	0.0                 
308.8               	0.0                 
309.8               	0.0                 
310.8               	0.0                 
311.8               	0.0                 
312.42              	0.0                 
313.42              	0.0                 
314.42              	0.0                 
315.42              	0.0                 
316.42              	0.0                 
317.42              	0.0                 
318.42              	0.0                 
319.42              	0.0                 
320.04              	0.0                 
321.04              	0.0                 
322.04              	0.0                 
323.04              	0.0                 
324.04              	0.0                 
325.04              	0.0                 
326.04              	0.0                 
327.04              	0.0                 
327.66              	0.0                 
328.66              	0.0                 
329.66              	0.0                 
330.66              	0.0                 
331.66              	0.0                 
332.66              	0.0                 
333.66              	0.0                 
334.66              	0.0                 
335.28000000000003  	0.0                 
336.28000000000003  	0.0                 
337.28000000000003  	0.0                 
338.28000000000003  	0.0                 
339.28000000000003  	0.0                 
340.28000000000003  	0.0                 
341.28000000000003  	0.0                 
342.28000000000003  	0.0                 
342.90000000000003  	0.0                 
343.90000000000003  	0.0                 
344.90000000000003  	0.0                 
345.90000000000003  	0.0                 
346.90000000000003  	0.0                 
347.90000000000003  	0.0                 
348.90000000000003  	0.0                 
349.90000000000003  	0.0                 
350.52000000000004  	0.0                 
351.52000000000004  	0.0                 
352.52000000000004  	0.0                 
353.52000000000004  	0.0                 
354.52000000000004  	0.0                 
355.52000000000004  	0.0                 
356.52000000000004  	0.0                 
357.52000000000004  	0.0                 
358.14000000000004  	0.0                 
359.14000000000004  	0.0                 
360.14000000000004  	0.0                 
361.14000000000004  	0.0                 
362.14000000000004  	0.0                 
363.14000000000004  	0.0                 
364.14000000000004  	0.0                 
365.14000000000004  	0.0                 
365.76              	0.0                 
366.76              	0.0                 
367.76              	0.0                 
368.76              	0.0                 
369.76              	0.0                 
370.76              	0.0                 
371.76              	0.0                 
372.76              	0.0                 
373.38              	0.0                 
374.38              	0.0                 
375.38              	0.0                 
376.38              	0.0                 
377.38              	0.0                 
378.38              	0.0                 
379.38              	0.0                 
380.38              	0.0                 
381.0               	0.0                 
382.0               	0.0                 
383.0               	0.0                 
384.0               	0.0                 
385.0               	0.0                 
386.0               	0.0                 
387.0               	0.0                 
388.0               	0.0                 
388.62              	0.0                 
389.62              	0.0                 
390.62              	0.0                 
391.62              	0.0                 
392.62              	0.0                 
393.62              	0.0                 
394.62              	0.0                 
395.62              	0.0                 
